course,link,nutrition
starter,http://www.italianfoodforever.com/2012/05/spinach-ricotta-cheese-savory-tart/,
starter,http://www.italianfoodforever.com/2014/01/spinach-puffs/,
main,http://www.italianfoodforever.com/2014/04/spinach-rice-crustless-pie/,
starter,http://www.italianfoodforever.com/2016/07/sunflower-spinach-puff-pastry-tart/,
sauce,http://www.italianfoodforever.com/2017/05/braised-artichokes-in-tomato-sauce/,
starter,http://www.italianfoodforever.com/2019/01/sauteed-garlicky-spinach/,
main,http://www.italianfoodforever.com/2012/08/grilled-peppers-onions/,
main,http://www.italianfoodforever.com/2011/01/barley-stuffed-peppers/,
main,http://www.italianfoodforever.com/2008/05/stuffed-peppers/,
main,http://www.italianfoodforever.com/2014/09/creamy-mushroom-risotto-with-thyme-mascarpone-cheese/,
main,http://www.italianfoodforever.com/2008/06/stuffed-onions/,
main,http://www.italianfoodforever.com/2009/06/roasted-onions/,
main,https://www.italianfoodforever.com/2014/02/cheesy-potato-broccoli-torta/,
main,https://www.italianfoodforever.com/2010/02/broccoli-bisque-with-gremolata/,
main,https://www.italianfoodforever.com/2008/08/roasted-broccoli/,
salad,https://www.italianfoodforever.com/2018/06/broccoli-blueberry-mango-salad/,
main,http://www.italianfoodforever.com/2014/08/zucchini-corn-fritters/,
starter,http://www.italianfoodforever.com/2018/05/grilled-corn/,
main,http://www.wholesomelicious.com/vegetable-garden-pasta/,
main,https://theblondcook.com/baked-italian-zucchini-tomatoes-and-onions/,
main,https://www.bowlofdelicious.com/italian-vegetarian-stuffed-mushrooms/,
soup,https://www.bowlofdelicious.com/mushroom-brie-soup/,
starter,http://www.italianfoodforever.com/2008/06/roasted-beets/,
starter,http://www.italianfoodforever.com/2018/01/roasted-carrots-beets-with-carrot-top-pesto/,
starter,http://www.italianfoodforever.com/2013/03/farro-salad-with-roasted-beets-goat-cheese-walnuts/,
starter,http://www.italianfoodforever.com/2012/02/orange-anise-roasted-beets/,
starter,http://www.italianfoodforever.com/2008/07/sweet-and-sour-roasted-beets-and-onions/,
salad,http://www.italianfoodforever.com/2008/05/bitter-greens-salad-with-roasted-beets-and-orange-vinaigrette/,
starter,http://www.italianfoodforever.com/2017/10/brussels-sprouts-with-grapes-walnuts/,
main,http://www.italianfoodforever.com/2014/10/brussels-sprouts-gratin/,
salad,http://www.italianfoodforever.com/2014/10/fall-farro-salad-with-roasted-brussels-sprouts-pumpkin-cranberries-walnuts/,
main,http://www.italianfoodforever.com/2015/02/brussels-sprouts-guanciale-pasta/,
