course,link,nutrition
main,https://cookieandkate.com/2018/parmesan-roasted-broccoli-recipe/,
salad,https://cookieandkate.com/2018/favorite-broccoli-salad-recipe/,
main,https://cookieandkate.com/2017/quinoa-broccoli-slaw-recipe/,
main,https://cookieandkate.com/2017/broccoli-cheddar-spinach-frittata/,
starter,https://cookieandkate.com/2016/broccoli-chickpea-pita-sandwiches/,
salad,https://cookieandkate.com/2015/spinach-pasta-recipe/,
salad,https://cookieandkate.com/2015/berry-spinach-salad-recipe/,
main,https://cookieandkate.com/2018/quick-pickled-onions-recipe/,
main,https://cookieandkate.com/2015/lentil-couscous-stuffed-peppers-recipe/,
main,https://cookieandkate.com/2011/stuffed-tomatoes-with-quinoa/,
main,https://cookieandkate.com/2016/sun-dried-tomato-spinach-quinoa-salad-recipe/,
main,https://cookieandkate.com/2017/baked-spinach-artichoke-dip-recipe/,
main,https://www.thespruceeats.com/vegetarian-mushroom-gravy-recipe-3377701,
main,https://food.ndtv.com/recipe-broccoli-bake-258789,
main,https://www.onceuponachef.com/recipes/roasted-broccoli-chipotle-honey-butter.html,
soup,https://www.elizabethrider.com/easy-vegan-french-onion-soup-recipe/,
Appetizer,https://cookieandkate.com/2015/kung-pao-brussels-sprouts-recipe/,
Main,https://www.thissavoryvegan.com/creamy-vegan-garlic-pasta-with-crispy-brussels-sprouts/,
Main,https://holycowvegan.net/easy-brussels-sprouts-stew/,
Soup,https://cookieandkate.com/2018/creamy-roasted-cauliflower-soup-recipe/,
Salad,https://cookieandkate.com/2018/french-carrot-salad-recipe/,
Dessert,https://www.thespruceeats.com/peach-sorbet-recipe-1375788,
Dessert,https://www.allrecipes.com/recipe/143487/peach-and-strawberry-sorbet/,
Dessert,https://theveglife.com/vegan-cantaloupe-ice-cream/,
Appetizer,https://www.cearaskitchen.com/vegan-avocado-fries/,
Appetizer,https://sweetsimplevegan.com/2017/09/avocado-french-toast/,
Dessert,https://www.whattheforkfoodblog.com/2016/01/04/avocado-truffles/,
Salad,https://natashaskitchen.com/cucumber-tomato-avocado-salad/,
Salad,https://cookeatpaleo.com/heirloom-tomato-avocado-salad/,
Appetizer,https://itdoesnttastelikechicken.com/cucumber-avocado-rolls/,
Salad,http://www.strawmarysmith.com/mango-avocado-salad/,
Dessert,https://www.veganricha.com/2014/10/fudgy-coconut-ladoo-vegan.html,
Main,https://vegecravings.com/thai-pineapple-fried-rice-recipe/,
Dessert,https://www.allrecipes.com/recipe/7347/fresh-pineapple-upside-down-cake/?internalSource=streams&referringId=17531&referringContentType=Recipe%20Hub&clickId=st_trending_b,
Dessert,https://www.allrecipes.com/recipe/232348/pineapple-stuffed-french-toast/,
Main,https://www.rotinrice.com/pineapple-curry/,
Dessert,http://wallflowerkitchen.com/easy-vegan-french-apple-tart/,
Appetizer,https://cookieandkate.com/2015/kung-pao-brussels-sprouts-recipe/,
Main,https://www.thissavoryvegan.com/creamy-vegan-garlic-pasta-with-crispy-brussels-sprouts/,
Main,https://holycowvegan.net/easy-brussels-sprouts-stew/,
Soup,https://cookieandkate.com/2018/creamy-roasted-cauliflower-Soup-recipe/,
Salad,https://cookieandkate.com/2018/french-carrot-Salad-recipe/,
Dessert,https://www.thespruceeats.com/peach-sorbet-recipe-1375788,
Dessert,https://www.allrecipes.com/recipe/143487/peach-and-strawberry-sorbet/,
Dessert,https://theveglife.com/vegan-cantaloupe-ice-cream/,
Appetizer,https://www.cearaskitchen.com/vegan-avocado-fries/,
Appetizer,https://sweetsimplevegan.com/2017/09/avocado-french-toast/,
Dessert,https://www.whattheforkfoodblog.com/2016/01/04/avocado-truffles/,
Salad,https://natashaskitchen.com/cucumber-tomato-avocado-Salad/,
Salad,https://cookeatpaleo.com/heirloom-tomato-avocado-Salad/,
Appetizer,https://itdoesnttastelikechicken.com/cucumber-avocado-rolls/,
Salad,http://www.strawmarysmith.com/mango-avocado-Salad/,
Dessert,https://www.veganricha.com/2014/10/fudgy-coconut-ladoo-vegan.html,
Main,https://vegecravings.com/thai-pineapple-fried-rice-recipe/,
Dessert,https://www.allrecipes.com/recipe/7347/fresh-pineapple-upside-down-cake/?internalSource=streams&referringId=17531&referringContentType=Recipe%20Hub&clickId=st_trending_b,
Dessert,https://www.allrecipes.com/recipe/232348/pineapple-stuffed-french-toast/,
Main,https://www.rotinrice.com/pineapple-curry/,
Dessert,http://wallflowerkitchen.com/easy-vegan-french-apple-tart/,
Salad,https://cookieandkate.com/2015/simple-beet-arugula-and-feta-Salad-with-hilarys-balsamic-thyme-dressing/,
Salad,https://cookieandkate.com/2015/raw-beet-Salad-with-carrot-quinoa-spinach/,
Appetizer,https://cookieandkate.com/2015/lentil-couscous-stuffed-peppers-recipe/,
Main,https://cookieandkate.com/2017/vegetable-paella-recipe/,
Soup,https://cookieandkate.com/2014/roasted-red-pepper-tortilla-Soup/,
Salad,https://cookieandkate.com/2018/best-cucumber-Salad-recipe/,
Main,https://cookieandkate.com/2016/homemade-green-bean-casserole/,
Salad,https://cookieandkate.com/2012/blackened-green-bean-and-quinoa-Salad/,
Appetizer,https://www.thespruceeats.com/chinese-green-beans-recipe-695332,
Appetizer,https://cookieandkate.com/2018/perfect-roasted-carrots-recipe/,
Soup,https://cookieandkate.com/2016/thai-carrot-sweet-potato-Soup-recipe/,
Appetizer,https://www.chinasichuanfood.com/kung-pao-cauliflower/,
Appetizer,https://www.chinasichuanfood.com/easy-cauliflower-stir-fired-with-tomatoes/,
Appetizer,https://cookieandkate.com/2015/pea-and-asparagus-risotto-recipe/,
Main,https://www.cilantroandcitronella.com/pineapple-vermicelli-rice-noodles/,
Salad,https://www.thespruceeats.com/passion-fruit-Salad-dressing-3029635,
Main,https://holycowvegan.net/mango-curry/,
Main,https://cookieandkate.com/2013/spicy-thai-peanut-sauce-over-roasted-sweet-potatoes-and-rice/,
Appetizer,https://cookieandkate.com/2018/baked-sweet-potato-fries/,
Appetizer,https://cookieandkate.com/2017/savory-mashed-sweet-potatoes/,
Appetizer,https://cookieandkate.com/2017/baked-spinach-artichoke-dip-recipe/,
Main,https://cookieandkate.com/2013/lentil-and-mushroom-meatballs/,
Main,https://cookieandkate.com/2017/roasted-mushrooms-with-herbed-quinoa/,
Main,https://cookieandkate.com/2014/easy-brown-rice-risotto-with-mushrooms-and-fresh-oregano/,
Main,https://cookieandkate.com/2013/crispy-mushroom-spinach-and-avocado-quesadillas/,
Main,https://cookieandkate.com/2012/carrot-cake-pancakes/,
Dessert,https://cookieandkate.com/2015/healthy-carrot-muffins-recipe/,
Appetizer,https://cookieandkate.com/2015/vegan-chipotle-carrot-queso/,
Dessert,https://cookieandkate.com/2015/blueberry-lemon-yogurt-cake-recipe/,
Main,https://cookieandkate.com/2012/blueberry-lemon-yogurt-pancakes/,
Dessert,https://cookieandkate.com/2016/lemon-curd-recipe/,
Dessert,https://cookieandkate.com/2016/healthy-raspberry-muffins-recipe/,
Dessert,https://cookieandkate.com/2011/healthy-lemon-blueberry-scones/,
Appetizer,https://cookieandkate.com/2015/roasted-broccoli-crostini-with-sun-dried-tomato-hummus/,
Main,https://cookieandkate.com/2015/pea-and-asparagus-risotto-recipe/,
Main,https://cookieandkate.com/2013/minty-pea-pesto-with-rice-and-radishes/,
Main,https://cookieandkate.com/2015/brussels-sprouts-pizza-recipe/,
